ID	Description	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	GeneRatio
GO:0051607	defense response to virus	329/28928	0.2948328267477204	8.208781532394664	25.38209058022529	8.520970867472918e-61	4.5288960160618555e-57	3.1877400487367106e-57	Adar/Apobec3/Atg5/Bcl2/Bnip3l/Bst2/Cd40/Cgas/Cxcl9/Ddx60/Dhx58/Dtx3l/Eif2ak2/Elmod2/Fgl2/Gbp2/Gbp4/Gm12250/Ifi203/Ifi203-ps/Ifi206/Ifi208/Ifi209/Ifi213/Ifi214/Ifit1bl1/Ifit1bl2/Ifit2/Ifit3/Ifit3b/Ifitm3/Ifitm6/Ifna4/Ifnar1/Igtp/Il15/Il27/Irf1/Irf2/Irf7/Irgm1/Irgm2/Isg20/Itgax/Mlkl/Mmp12/Mov10/Mx2/Ndufaf4/Nlrc5/Nt5c3/Oas1a/Oas1b/Oas1c/Oas1g/Oas1h/Oas2/Oas3/Oasl2/Parp9/Pml/Polr3e/Rigi/Ripk3/Rnase6/Rnasel/Rnf135/Samhd1/Serinc3/Sertad3/Shfl/Slfn8/Slfn9/Spn/Stat1/Stat2/Sting1/Tagap/Tlr3/Tlr7/Tlr9/Traf3/Trim12a/Trim12c/Trim13/Trim21/Trim26/Trim30a/Trim30b/Trim30c/Trim30d/Trim34a/Trim5/Trim6/Usp18/Zbp1/Znfx1	97	0.0933589990375361
GO:0009615	response to virus	412/28928	0.25728155339805825	7.163273124830634	24.319728333932115	7.249307381011866e-60	1.9265034365039033e-56	1.3560020227429566e-56	Adar/Apobec3/Atg5/Bcl2/Bnip3l/Bst2/Cd40/Cgas/Cxcl9/Ddx60/Dhx58/Dtx3l/Eif2ak2/Elmod2/Fgl2/Gbp2/Gbp4/Gm12250/Ifi203/Ifi203-ps/Ifi206/Ifi208/Ifi209/Ifi213/Ifi214/Ifi27l2a/Ifit1bl1/Ifit1bl2/Ifit2/Ifit3/Ifit3b/Ifitm3/Ifitm6/Ifna4/Ifnar1/Igtp/Il15/Il27/Irf1/Irf2/Irf7/Irgm1/Irgm2/Isg20/Itgax/Lgals8/Lgals9/Mlkl/Mmp12/Mov10/Mx1/Mx2/Ndufaf4/Nlrc5/Nmi/Npc2/Nt5c3/Oas1a/Oas1b/Oas1c/Oas1g/Oas1h/Oas2/Oas3/Oasl2/Parp9/Pml/Polr3e/Rigi/Ripk3/Rnase6/Rnasel/Rnf135/Samhd1/Serinc3/Sertad3/Shfl/Slfn8/Slfn9/Spn/Stat1/Stat2/Sting1/Tagap/Tgtp1/Tlr3/Tlr7/Tlr9/Tnfsf4/Traf3/Trim12a/Trim12c/Trim13/Trim21/Trim26/Trim30a/Trim30b/Trim30c/Trim30d/Trim34a/Trim5/Trim6/Usp18/Wdfy4/Zbp1/Znfx1	106	0.10202117420596728
GO:0035456	response to interferon-beta	77/28928	0.5324675324675324	14.825044060847716	23.44630724237532	9.175672358999236e-39	1.6256232862693646e-35	1.1442224408380099e-35	9930111J21Rik1/Bst2/Calm2/F830016B08Rik/Gbp2/Gbp3/Gm12185/Gm4841/Gm5431/Ifi203/Ifi204/Ifi205/Ifi206/Ifi208/Ifi209/Ifi213/Ifi214/Ifi47/Ifit3/Ifitm3/Ifitm6/Ifnar1/Igtp/Iigp1/Irf1/Irgm1/Irgm2/Oas1a/Oas1b/Oas1c/Oas1g/Oas1h/Pnpt1/Shfl/Stat1/Sting1/Tgtp1/Tgtp2/Tlr3/Trim6/Xaf1	41	0.03946102021174206
GO:0035458	cellular response to interferon-beta	68/28928	0.5294117647058824	14.739964898375135	21.894494196229694	4.570230867745428e-34	6.072694265516738e-31	4.274368553675593e-31	9930111J21Rik1/Calm2/F830016B08Rik/Gbp2/Gbp3/Gm12185/Gm4841/Gm5431/Ifi203/Ifi204/Ifi205/Ifi206/Ifi208/Ifi209/Ifi213/Ifi214/Ifi47/Ifit3/Ifnar1/Igtp/Iigp1/Irf1/Irgm1/Irgm2/Oas1a/Oas1b/Oas1c/Oas1g/Oas1h/Pnpt1/Stat1/Sting1/Tgtp1/Tgtp2/Tlr3/Trim6	36	0.03464870067372473
GO:0048525	negative regulation of viral process	115/28928	0.3826086956521739	10.652650960371595	20.019087757289622	1.2618445199182756e-33	1.341340724673127e-30	9.441253523767479e-31	Apobec3/Bst2/Ch25h/Ciita/Eif2ak2/Ifi203/Ifi203-ps/Ifi206/Ifi208/Ifi209/Ifi213/Ifi214/Ifitm3/Ifitm6/Inpp5k/Isg20/Ly6e/Mphosph8/Mx2/Oas1a/Oas1b/Oas1c/Oas1g/Oas1h/Oas2/Oas3/Oasl2/Rnasel/Shfl/Sp100/Stat1/Trim12a/Trim12c/Trim13/Trim14/Trim21/Trim26/Trim30a/Trim30b/Trim30c/Trim30d/Trim5/Trim6/Znfx1	44	0.04234841193455245
GO:0045088	regulation of innate immune response	496/28928	0.1693548387096774	4.715203825017852	16.10878475889866	7.434273043932296e-33	6.585526871416692e-30	4.6353344558132246e-30	Adar/Atg5/Calhm6/Casp8/Ccr1/Cd300lf/Cgas/Clec4n/Colec12/Ddx60/Dhx58/Eif2ak2/Fcna/Fgr/Gbp2/Gbp3/Gm12250/H2-M3/H2-T23/Hspd1/Ifi203/Ifi203-ps/Ifi204/Ifi205/Ifi206/Ifi208/Ifi209/Ifi213/Ifi214/Ifi35/Igtp/Il18rap/Irf1/Irf2/Irf7/Irgm1/Irgm2/Klrk1/Lgals9/Mmp12/Nlrc5/Nmi/Nod1/Nono/Oas1a/Oas1b/Oas1c/Oas1g/Oas1h/Oas3/Parp9/Pdpk1/Rigi/Ripk2/Rnf135/Rnf34/Samhd1/Scimp/Serpinb9b/Stat2/Sting1/Tap1/Tap2/Tasl/Tifa/Tlr11/Tlr3/Tlr5/Tlr7/Tlr9/Traf3/Trafd1/Trim12a/Trim12c/Trim21/Trim30a/Trim30b/Trim30c/Trim30d/Trim5/Trim6/Usp18/Zbp1/Znfx1	84	0.08084696823869104
GO:0050792	regulation of viral process	194/28928	0.27319587628865977	7.606362184098509	17.820020579325266	9.753900201321879e-32	7.405997081432256e-29	5.212836288044806e-29	Adar/Apobec3/Atg5/Axl/Bcl2/Bst2/Ch25h/Ciita/Eif2ak2/Ifi203/Ifi203-ps/Ifi206/Ifi208/Ifi209/Ifi213/Ifi214/Ifitm3/Ifitm6/Inpp5k/Isg20/Kpna2/Ly6e/Mphosph8/Mx2/Oas1a/Oas1b/Oas1c/Oas1g/Oas1h/Oas2/Oas3/Oasl2/P4hb/Rnasel/Shfl/Sp100/Stat1/Stom/Top2a/Trim12a/Trim12c/Trim13/Trim14/Trim21/Trim26/Trim30a/Trim30b/Trim30c/Trim30d/Trim34a/Trim5/Trim6/Znfx1	53	0.05101058710298364
GO:0019058	viral life cycle	279/28928	0.21863799283154123	6.087353086266433	16.48095027683513	1.9872180802506947e-30	1.3202580120665554e-27	9.292859285803907e-28	Adar/Apobec3/Atg5/Axl/Bcl2/Bst2/Ccl12/Ccl8/Cd300lf/Ch25h/Ciita/Eif2ak2/Hsp90ab1/Ifi203/Ifi203-ps/Ifi206/Ifi208/Ifi209/Ifi213/Ifi214/Ifitm3/Ifitm6/Inpp5k/Isg20/Kpna2/Ly6e/Mphosph8/Mx2/Naip5/Nectin4/Oas1a/Oas1b/Oas1c/Oas1g/Oas1h/Oas2/Oas3/Oasl2/P4hb/Pikfyve/Prkn/Rnasel/Shfl/Siglec1/Spint1/Stom/Tmem41b/Top2a/Trim12a/Trim12c/Trim21/Trim26/Trim30a/Trim30b/Trim30c/Trim30d/Trim34a/Trim5/Trim6/Uvrag/Znfx1	61	0.05871029836381136
GO:1903900	regulation of viral life cycle	163/28928	0.2883435582822086	8.02810630797664	17.367725064575133	1.949358066689411e-29	1.1512042360504687e-26	8.102945694753412e-27	Adar/Apobec3/Axl/Bcl2/Bst2/Ch25h/Ciita/Eif2ak2/Ifi203/Ifi203-ps/Ifi206/Ifi208/Ifi209/Ifi213/Ifi214/Ifitm3/Ifitm6/Inpp5k/Isg20/Kpna2/Ly6e/Mphosph8/Mx2/Oas1a/Oas1b/Oas1c/Oas1g/Oas1h/Oas2/Oas3/Oasl2/P4hb/Rnasel/Shfl/Top2a/Trim12a/Trim12c/Trim21/Trim26/Trim30a/Trim30b/Trim30c/Trim30d/Trim34a/Trim5/Trim6/Znfx1	47	0.04523580365736285
GO:0016032	viral process	359/28928	0.18662952646239556	5.196168374883714	15.441717804168432	5.886522194797895e-29	3.128686546535081e-26	2.202178934769655e-26	Adar/Apobec3/Atg5/Axl/Bcl2/Bst2/Ccl12/Ccl8/Cd300lf/Ch25h/Ciita/Eif2ak2/Hsp90ab1/Ifi203/Ifi203-ps/Ifi206/Ifi208/Ifi209/Ifi213/Ifi214/Ifitm3/Ifitm6/Inpp5k/Isg20/Kpna2/Ly6e/Mphosph8/Mx2/Naip5/Nectin4/Oas1a/Oas1b/Oas1c/Oas1g/Oas1h/Oas2/Oas3/Oasl2/P4hb/Pikfyve/Prkn/Rnasel/Shfl/Siglec1/Sp100/Spint1/Stat1/Stom/Tardbp/Tmem41b/Top2a/Trim12a/Trim12c/Trim13/Trim14/Trim21/Trim26/Trim30a/Trim30b/Trim30c/Trim30d/Trim34a/Trim5/Trim6/Usf1/Uvrag/Znfx1	67	0.06448508180943215
