coefficient	gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
genotype	Eva1c	-4.304064031130325	-2.947147860538069	-25.19331039144454	2.0128999312147454e-11	3.495400730554405e-7	12.574757599804084
genotype	2610318N02Rik	-3.9152967751415506	-2.3321463109574183	-12.8371029703467	3.6070108010500574e-8	3.131787128011712e-4	8.201347851078934
genotype	Cxcl11	3.7641175411652177	-4.12058592177914	11.152718436990805	1.626281028607537e-7	9.413456687256626e-4	7.088994063564454
genotype	Slc7a13	3.2267921349156925	-2.1609294379458035	9.274736280281154	1.1128951443533624e-6	0.00366432319290183	5.393959507873585
genotype	Klra9	2.1745626825696416	-4.717241866510673	9.268775629343674	1.1202479972658555e-6	0.00366432319290183	4.94801016815297
genotype	Grhl1	-2.8484452914048397	-4.001481301903083	-9.158531823675828	1.2661064876136482e-6	0.00366432319290183	5.111126596527919
genotype	Rnase10	-2.6328076378443583	-4.6163612843490345	-8.383041104793808	3.0972450303659964e-6	0.0076833799931865	4.359622889192061
genotype	Hdc	3.1985801165548757	-3.6812619707468266	7.9883070534104546	5.001954444207379e-6	0.01085736736545764	4.205586433293879
genotype	BC023105	1.7496642736923205	-4.8191079016220435	7.599626428052031	8.155943427670129e-6	0.01540475039065002	3.4401365591323385
genotype	Lhx2	3.6960644998644705	-2.164293992280304	7.532633643720005	8.888699982226931e-6	0.01540475039065002	3.4504315110181256
genotype	Slc6a4	-3.357824740606732	-3.887625131224072	-7.460419374997906	9.758263996380668e-6	0.01540475039065002	3.65241198596548
genotype	Mmp25	3.620924320699473	-3.207729557628279	7.384560747056214	1.0770688760253216e-5	0.01558608419348308	3.2939697861494848
genotype	Tcp10a	-2.625417650505451	-4.615120931258536	-7.290675237207267	1.2182016357385862e-5	0.01627236261892349	3.300468287378875
genotype	Kctd19	1.5040291073137124	-4.880521701135894	7.070270757286054	1.6334277202357412e-5	0.01813365811365378	2.899617672187187
genotype	Slc6a20a	1.5040291073137124	-4.880521701135894	7.070270757286054	1.6334277202357412e-5	0.01813365811365378	2.899617672187187
genotype	Rnf186	-1.5842079331945564	-4.880521701135894	-7.033768172322754	1.715730665961998e-5	0.01813365811365378	2.853730140054389
genotype	Ear2	-1.827004618223722	-4.8191079016220435	-6.979016956096754	1.8475989576108697e-5	0.01813365811365378	2.814129587317958
genotype	Tjp1	-3.145400119995487	-4.22299325948762	-6.966329668176926	1.8796766256594767e-5	0.01813365811365378	3.058902972173289
genotype	Vwce	-1.9880960217546164	-4.778655666024523	-6.64532420052266	2.9254964928525037e-5	0.02673749820967564	2.4731667239452086
genotype	Tatdn1	-3.1595273940164086	-4.223032026416772	-6.3912931881495805	4.191591229828875e-5	0.03639349085298921	2.379699226410093
genotype	Snca	-1.6033785530458715	-3.655857422286125	-6.327217805015457	4.5958252621763395e-5	0.03669205443161352	1.9720143281665976
genotype	Erp27	2.342640137249471	-3.445159174589892	6.31930187204459	4.6485758565821905e-5	0.03669205443161352	2.1667818858886037
genotype	Pkd1l1	2.6444145704775206	-4.219135206219013	6.229725187243875	5.2925321589115464e-5	0.03995861779978217	2.1196261873560003
genotype	Pamr1	1.926758462026664	-3.7000669820110232	6.178676401119086	5.701446710995104e-5	0.04040352999019286	1.944160408479446
genotype	Map2	2.931580848073951	-2.806938127023141	6.164977973675465	5.8168053541884335e-5	0.04040352999019286	2.07073276527427
genotype	Gm18666	-1.75128038780764	-4.838714674039615	-6.061701574476861	6.770675165017742e-5	0.04522029778482042	1.781244606340831
genotype	Retn	-2.251963801867405	-4.585161658117243	-6.013528830505798	7.27128071277061e-5	0.04636305458046372	1.7680162712808638
genotype	Opcml	2.3939145646029423	-4.462334059089542	5.994857872835249	7.475758872749693e-5	0.04636305458046372	1.7839935860331124
training_status	Snca	-4.113238125466171	-3.655857422286125	-25.553761143950062	1.7140196649871115e-11	2.9763951482501194e-7	14.168313814059411
training_status	Tppp	4.537364284101649	-3.115399819639353	17.903974841704972	9.330654548065796e-10	8.101340811358128e-6	12.152739718824323
training_status	Gm5526	-4.224043302225676	-3.4704330212224104	-16.84663846791755	1.8349257940763951e-9	1.0621162138045534e-5	11.37029679113476
training_status	Slc7a13	4.406027947398966	-2.1609294379458035	16.308436458159857	2.6288370669282406e-9	1.1412438916802224e-5	11.2963094994217
training_status	Lad1	-3.470342799238275	-3.581149470265613	-12.477136166849046	4.902252385128094e-8	1.702552253354987e-4	8.496242176924664
training_status	Mlf1	3.9436629983618072	-3.167349330319474	10.73313333322048	2.438823030197517e-7	5.377144174397837e-4	7.331927074463396
training_status	Kif1a	-4.143961739701687	-3.6448649023765136	-10.547704919110744	2.929472535476959e-7	5.377144174397837e-4	7.170641735636711
training_status	Tdgf1	-3.4102937215137925	-3.798769029605809	-10.436122414640025	3.275328890123539e-7	5.377144174397837e-4	6.904743664674601
training_status	Erfe	3.6841083833308015	-3.6764822549352703	10.4000703312281	3.396294809833766e-7	5.377144174397837e-4	6.987512512610043
training_status	Tafa5	2.3511930176012044	-4.655828066996822	10.399558362045976	3.398046945185007e-7	5.377144174397837e-4	6.6182713258991415
training_status	Foxq1	-4.221182805681258	-3.9173698131881385	-10.39718109393688	3.406195561092785e-7	5.377144174397837e-4	7.05155984806517
training_status	Art2a	-4.138617802621968	-4.063740887240019	-10.165420653285668	4.311506971573247e-7	6.239109880114119e-4	6.813187202651319
training_status	Tlr12	-2.967223373764179	-4.2293732685344745	-9.33932632726208	1.036467970594803e-6	0.00124425150610206	5.824763083295819
training_status	Camp	-3.648189443009087	-3.5733764133423436	-9.288272221926343	1.0963899010636214e-6	0.00124425150610206	5.90754391675085
training_status	Tpbg	3.646887930429415	-3.268369957745094	9.230738358375747	1.1684186579283624e-6	0.00124425150610206	5.871635371154314
training_status	Stxbp6	4.366288010879886	-2.0953910103924738	9.193254958294553	1.2180755584559162e-6	0.00124425150610206	5.621326757554643
training_status	Pcdh19	3.5543614701485	-2.970017229397178	9.193238229559904	1.2180982207736874e-6	0.00124425150610206	5.820897896596266
training_status	Klrg2	4.092332977325802	-3.2204401524689588	9.080767764859315	1.3812302471909305e-6	0.00133250351347058	5.769104871358309
training_status	Kcna2	-3.9277060388222953	-3.434305793748919	-8.955053127224591	1.5918456473727263e-6	0.00145486314034881	5.600972072715818
training_status	Rnase10	-2.727315271382189	-4.6163612843490345	-8.775651379458495	1.9544271981687697e-6	0.00167938654379169	5.228325779617567
training_status	Gm4131	-3.761751677073683	-4.060049677889637	-8.710327409590061	2.107728869747528e-6	0.00167938654379169	5.320698184325897
training_status	Rps2-ps11	-2.8735966688198413	-4.460133667493861	-8.702218881069284	2.127642036476667e-6	0.00167938654379169	5.174445804376555
training_status	Ckm	-3.3051746441076983	-3.9512174653047754	-7.950953904413288	5.2386836293005766e-6	0.00395520614012193	4.442948529787339
training_status	Fbln5	4.182127553720793	-2.7603556618441027	7.902030624647486	5.567084128890762e-6	0.00402801732909117	4.446811210302647
training_status	Btnl2	3.48906925340542	-2.661237901664835	7.7005555606612255	7.171556808736502e-6	0.00495584061841912	4.18005683220097
training_status	Ccser1	-3.0443238855061923	-4.408871889998915	-7.673719780561343	7.420204784272801e-6	0.00495584061841912	4.096223910386569
training_status	Tcp10a	-2.718677306481406	-4.615120931258536	-7.629495449584973	7.850350161461448e-6	0.00504893816865844	4.010690365971852
training_status	Mmp17	3.2718389627517235	-2.349667175608869	7.569515159285265	8.476954543392147e-6	0.00525722555878587	3.756648556211293
training_status	Rnf186	-1.6823066592977858	-4.880521701135894	-7.532272242550851	8.89283912801536e-6	0.00532497073993057	3.80662848125394
training_status	Tdrd6	-3.743133847174519	-3.7542955299576866	-7.444367363283793	9.963668508311676e-6	0.0057673034548944	3.8721724571469265
training_status	Ear2	-1.9206664438374377	-4.8191079016220435	-7.400460103864385	1.0549533241098331e-5	0.00590944015263459	3.668484093584405
training_status	Map2	3.2374758367257317	-2.806938127023141	7.264491099568131	1.2610031947214406e-5	0.00684291264885556	3.635873376060106
training_status	Sgce	3.387784635222012	-2.6871789712218312	7.073907089109978	1.625463106676778e-5	0.00824355197709011	3.4047803535387695
training_status	Prr36	3.2301639359906527	-2.378561964888625	7.048578630467175	1.681814940846868e-5	0.00824355197709011	3.1714479936948576
training_status	Vwce	-2.088619788862391	-4.778655666024523	-7.043280198583911	1.693865195771042e-5	0.00824355197709011	3.2625747772947324
training_status	Tdg-ps2	-4.022963797048537	-2.8242735753931134	-7.036682256479468	1.709000121942091e-5	0.00824355197709011	3.362959796060972
training_status	Madcam1	-3.2009870851224433	-3.955225361619698	-6.981343969534768	1.841779252763794e-5	0.00864391803357926	3.27058663108763
